epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.203,1.6807,3.17133,1.44593,0.80167,0.13814,0.2572,0.15271,1.67659,3.30045,1.4489,0.000362454,0.000362454,0.000362454
2,364.455,1.68377,1.96552,1.38628,0.52247,0.26879,0.21524,0.10238,1.90941,2.9867,1.66698,0.000708605,0.000708605,0.000708605
3,546.401,1.70966,1.8776,1.43088,0.34193,0.37249,0.30655,0.1634,1.86486,2.54203,1.70706,0.00103031,0.00103031,0.00103031
4,724.443,1.68669,1.83353,1.42933,0.45605,0.41583,0.38269,0.19425,1.84053,2.49964,1.57253,0.00100101,0.00100101,0.00100101
5,901.2,1.62993,1.67118,1.37464,0.56501,0.48358,0.50055,0.25531,1.78405,1.87976,1.56346,0.000964348,0.000964348,0.000964348
6,1088.57,1.59587,1.62552,1.36031,0.51218,0.48926,0.49824,0.28437,1.75659,1.79977,1.54114,0.000927685,0.000927685,0.000927685
7,1269.85,1.558,1.6278,1.39284,0.55341,0.4998,0.52313,0.28472,1.70435,1.7235,1.50427,0.000891022,0.000891022,0.000891022
8,1451.21,1.55335,1.54717,1.35556,0.55674,0.53909,0.55727,0.32971,1.65205,1.72747,1.43865,0.000854359,0.000854359,0.000854359
9,1637.9,1.53707,1.51419,1.33895,0.58439,0.49442,0.53573,0.31463,1.67096,1.70417,1.44495,0.000817696,0.000817696,0.000817696
10,1838.62,1.49098,1.55012,1.34526,0.61051,0.54538,0.57041,0.33616,1.6008,1.59921,1.40653,0.000781033,0.000781033,0.000781033
11,2093.3,1.47025,1.41426,1.28521,0.5463,0.54752,0.53153,0.32715,1.63964,1.84791,1.42801,0.00074437,0.00074437,0.00074437
12,2341.24,1.52281,1.43761,1.31103,0.59204,0.57039,0.57566,0.35962,1.55375,1.63674,1.37786,0.000707707,0.000707707,0.000707707
13,2590.95,1.47995,1.41273,1.30045,0.66062,0.55461,0.59782,0.36281,1.58377,1.53573,1.40133,0.000671044,0.000671044,0.000671044
14,2826.26,1.41331,1.36846,1.28714,0.5823,0.55524,0.56839,0.35836,1.5895,1.54316,1.40671,0.000634381,0.000634381,0.000634381
15,3073.31,1.38552,1.32149,1.27235,0.67696,0.57344,0.60776,0.3745,1.56059,1.46764,1.37294,0.000597718,0.000597718,0.000597718
16,3303.97,1.37392,1.27938,1.25422,0.68933,0.54865,0.59824,0.36767,1.55376,1.45229,1.3888,0.000561055,0.000561055,0.000561055
17,3671.43,1.39505,1.27079,1.25238,0.67744,0.5934,0.62032,0.38285,1.55121,1.48394,1.34903,0.000524392,0.000524392,0.000524392
18,3909.6,1.37394,1.28399,1.25079,0.63613,0.57165,0.60227,0.36272,1.54424,1.44191,1.36007,0.000487729,0.000487729,0.000487729
19,4149.48,1.36051,1.24373,1.23534,0.66688,0.60492,0.62251,0.39199,1.50793,1.40786,1.36085,0.000451066,0.000451066,0.000451066
20,4376.51,1.3821,1.28819,1.27162,0.684,0.62039,0.65727,0.40945,1.46997,1.3081,1.32355,0.000414403,0.000414403,0.000414403
21,4813.5,1.35128,1.39584,1.27048,0.6498,0.56634,0.60421,0.37685,1.49099,1.43822,1.35208,0.00037774,0.00037774,0.00037774
22,4991.48,1.31974,1.31717,1.26292,0.6844,0.60821,0.64872,0.41569,1.45609,1.40656,1.32035,0.000341077,0.000341077,0.000341077
23,5210.61,1.34755,1.29724,1.25939,0.71853,0.59142,0.66319,0.4266,1.46098,1.35443,1.33505,0.000304414,0.000304414,0.000304414
24,5483.2,1.31981,1.26987,1.24115,0.65589,0.64657,0.64378,0.41457,1.4573,1.37254,1.31331,0.000267751,0.000267751,0.000267751
25,6079.14,1.27603,1.17394,1.19716,0.65544,0.63906,0.65519,0.42432,1.47451,1.34088,1.32152,0.000231088,0.000231088,0.000231088
26,6214.87,1.24319,1.1557,1.20997,0.74461,0.63556,0.68143,0.45405,1.4208,1.25513,1.28059,0.000194425,0.000194425,0.000194425
27,6368.25,1.24311,1.12639,1.19366,0.69691,0.62975,0.67647,0.44453,1.40898,1.25888,1.28072,0.000157762,0.000157762,0.000157762
28,6526.02,1.18455,1.07153,1.17171,0.71281,0.63762,0.68543,0.45164,1.40869,1.22634,1.28322,0.000121099,0.000121099,0.000121099
29,6689.68,1.19866,1.07273,1.17331,0.73334,0.63849,0.69455,0.45837,1.41631,1.22314,1.28613,8.4436e-05,8.4436e-05,8.4436e-05
30,6852.56,1.17656,1.06198,1.17146,0.73592,0.63874,0.69872,0.46249,1.42694,1.21381,1.29057,4.7773e-05,4.7773e-05,4.7773e-05
